student_id,group_key
912897961,sec6:บิดหมดไม่สลดบิดอีก
698916749,sec6:บิดหมดไม่สลดบิดอีก
993124461,sec6:print(a)
832825174,sec6:jungdaikoboru
455623352,sec3:goodmorning
336792198,sec4:joytotheworld
323513194,sec4:eiei
906298653,sec3:goodmorning
329734268,sec4:joytotheworld
965698608,sec1:วิดวะมช.รู้จักปะ
467905141,sec4:จุบุจุบุ
521300563,sec6:print(a)
114285506,
911612652,
309622167,sec1:หารู้ไม่
767826805,
204588026,
133508474,
303721960,
237995276,sec4:จุบุจุบุ
452342645,
237719555,
893055977,sec6:oppaicy
961289006,
984660817,
580917784,sec6:oppaicy
861815757,
361495293,sec6:oppaicy
695931176,sec6:oppaicy
406408192,sec4:abc
775867271,sec4:joytotheworld
964624100,
305728465,sec3:ไออีสีชมพู
673766649,sec6:oppaicy
899198285,sec3:ไออีสีชมพู
710831481,
838002970,sec3:ไก่บักโจ้น
415729173,sec2:อยากได้ชุดโกโกวา
878867438,sec3:ไก่บักโจ้น
449877162,sec3:nguang-non
222220616,sec3:nguang-non
240040832,sec3:ไก่บักโจ้น
381176761,sec3:ไก่บักโจ้น
444253189,sec2:อยากได้ชุดโกโกวา
440074724,sec1:stickyriceลูกผู้ชายพันธุ์ข้าวเหนียว
526351450,sec3:nguang-non
578606051,sec3:eiei
573451347,sec6:มา3
150042086,
688634166,
500176564,
883354260,sec4:abc
351524647,
948510825,sec6:ไม่ทันแล้ว
808484141,sec6:jungdaikoboru
148641381,sec4:hellouniverse
952597841,sec4:จุบุจุบุ
370418768,
375447417,
889082650,sec1:หารู้ไม่
995322904,
730630972,sec1:หารู้ไม่
290954390,
416496470,
437660674,
456566825,sec1:เอนทาเนียร์ตัวจิ๋ว
767801940,sec6:jungdaikoboru
148132928,sec6:jungdaikoboru
867089835,sec6:print(a)
811121691,
246782846,sec6:jungdaikoboru
464985258,sec1:เอนทาเนียร์ตัวจิ๋ว
198847026,sec3:goodmorning
420475071,
563368743,
278200620,sec6:มา3
605699546,
267360066,
449717273,
143071527,sec1:stickyriceลูกผู้ชายพันธุ์ข้าวเหนียว
370388634,sec3:goodmorning
936484952,sec6:print(a)
507557763,sec1:กุ๊กๆกู๋
462952769,sec3:goodmorning
678145655,sec1:เซรั่มนารา
161774660,sec1:เซรั่มนารา
448976795,sec4:hiwmakkkk
390167281,
424027587,sec1:กุ๊กๆกู๋
865828618,
401726948,sec3:tew
330590371,sec6:มีหนุ่มตี๋เป็นเส้นชัย
552341204,
491358149,sec6:มีหนุ่มตี๋เป็นเส้นชัย
847148041,sec6:มีหนุ่มตี๋เป็นเส้นชัย
280587693,sec4:เซรั่มนารา
287799012,sec6:มีหนุ่มตี๋เป็นเส้นชัย
672013572,sec1:เอนทาเนียร์ตัวจิ๋ว
638645905,sec3:no123
818119423,
198099848,
918066577,
400354699,
206819124,sec3:ภูเพียง
461374876,
750650308,sec1:เหงาจัง
315933788,sec4:จุบุจุบุ
272824443,sec1:เหงาจัง
771472058,sec4:เซรั่มนารา
722295150,
215120277,sec4:เซรั่มนารา
163233285,sec4:เซรั่มนารา
646792118,sec6:ไม่บอกหรอก
591679472,sec1:เซรั่มนารา
586890985,sec1:เหงาจัง
203660559,
908499405,sec1:เหงาจัง
420400582,sec4:cometosee
165036717,sec3:ไออีสีชมพู
351447940,sec1:เหงาจัง
857999789,sec6:ไม่บอกหรอก
391070229,sec3:no123
864332387,
804980444,sec6:ไม่บอกหรอก
838355770,sec6:มีหนุ่มตี๋เป็นเส้นชัย
543046351,
620325798,
190908108,sec3:ไออีสีชมพู
132485295,sec3:no123
392796001,
549581507,sec3:no123
898677547,
852775059,sec1:เอนทาเนียร์ตัวจิ๋ว
803970292,sec1:หารู้ไม่
377811582,sec1:ปาท่องโก๋ทอด
386924405,sec3:tew
972646787,
275665517,
736949133,sec3:tew
459008621,
388368270,
525264658,sec6:ไม่บอกหรอก
973522625,sec4:cometosee
803397400,sec4:cometosee
370091455,sec6:ไม่บอกหรอก
971623124,sec4:cometosee
514713924,
395522987,
466742761,sec1:เซรั่มนารา
